MEGA SALAMENCE,HARROLD KHOO
TAPU FINI,HARROLD KHOO
INCINEROAR,HARROLD KHOO
SHEDINJA,HARROLD KHOO
PRIMAL KYOGRE,BENJAMIN TAN
YVELTAL,BENJAMIN TAN
MEGA GENGAR,BENJAMIN TAN
TAPU LELE,BENJAMIN TAN
INCINEROAR,BENJAMIN TAN
STAKATAKA,BENJAMIN TAN
PRIMAL GROUDON,KEI YIN OR
XERNEAS,KEI YIN OR
MEGA SALAMENCE,KEI YIN OR
CRESSELIA,KEI YIN OR
TAPU FINI,KEI YIN OR
BRONZONG,KEI YIN OR
XERNEAS,DAVID PARTINGTON
DUSK MANE NECROZMA,DAVID PARTINGTON
MEGA LOPUNNY,DAVID PARTINGTON
INCINEROAR,DAVID PARTINGTON
TAPU KOKO,DAVID PARTINGTON
MURKROW,DAVID PARTINGTON
